episode,timestep,reward
1,2000,931.2796
3,4000,902.7407
5,6000,876.5287
7,8000,900.8609
9,10000,934.7438
11,12000,884.0862
13,14000,892.4197
15,16000,906.9837
17,18000,911.7353
19,20000,909.259
21,22000,929.3485
23,24000,962.3459
25,26000,890.5478
27,28000,936.2387
29,30000,893.2226
31,32000,928.8195
33,34000,888.9392
35,36000,930.5161
37,38000,932.3362
39,40000,892.2644
41,42000,883.2185
43,44000,905.2492
45,46000,909.4326
47,48000,883.908
49,50000,900.5171
51,52000,950.9383
53,54000,935.5423
55,56000,932.0204
57,58000,937.1038
59,60000,907.7934
61,62000,961.7137
63,64000,916.8288
65,66000,981.7246
67,68000,933.6934
69,70000,972.8407
71,72000,925.7457
