episode,timestep,reward
12,2000,-114.5107
35,4000,-57.84
48,6000,-70.8011
69,8000,-84.7731
84,10000,-46.9331
90,12000,-211.1866
97,14000,-204.9052
102,16000,-277.9808
105,18000,-248.17
122,20000,-106.1525
136,22000,-74.6055
151,24000,-103.3563
169,26000,-77.6099
184,28000,-54.921
204,30000,-66.5607
226,32000,-64.5221
240,34000,-63.2271
249,36000,-187.7615
259,38000,-110.9307
265,40000,-315.9854
283,42000,-75.9064
299,44000,-81.5149
311,46000,-98.9011
315,48000,-216.5817
329,50000,-121.968
342,52000,-104.9758
356,54000,-117.2691
375,56000,-76.3387
387,58000,-136.1493
400,60000,-103.7257
419,62000,-86.5571
428,64000,-149.139
435,66000,-150.3309
462,68000,-68.5992
471,70000,-134.4281
480,72000,-128.0339
492,74000,-121.7165
504,76000,-162.503
520,78000,-92.0272
525,80000,-203.7201
542,82000,-97.0025
553,84000,-112.7868
564,86000,-135.8247
576,88000,-158.9562
584,90000,-130.1898
591,92000,-233.4431
596,94000,-201.0077
603,96000,-246.5106
625,98000,-99.8386
641,100000,-79.0311
646,102000,-231.1707
659,104000,-160.4233
675,106000,-88.954
690,108000,-97.2989
705,110000,-114.4686
718,112000,-121.6507
740,114000,-60.1376
756,116000,-123.9973
770,118000,-109.4986
778,120000,-132.7242
787,122000,-205.7386
800,124000,-129.7289
804,126000,-236.757
822,128000,-121.3158
844,130000,-74.9491
861,132000,-97.731
880,134000,-42.4455
893,136000,-169.2919
909,138000,-104.5817
926,140000,-66.1324
943,142000,-138.0994
956,144000,-114.8569
975,146000,-81.4441
993,148000,-105.0829
1013,150000,-75.6366
1021,152000,-141.629
1033,154000,-187.2642
1047,156000,-135.3778
1068,158000,-80.1266
1092,160000,-72.6051
1101,162000,-162.5578
1112,164000,-188.3152
